"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFC","EQ","28-Apr-2017","       1566.50","       1564.10","       1566.00","       1532.15","       1537.00","       1537.15","       1540.52","    2850999","          4392011703.00","     155565","    2252219","         79.00"
"HDFC","EQ","02-May-2017","       1537.15","       1547.00","       1590.75","       1538.90","       1585.55","       1584.75","       1571.83","    4472856","          7030575465.20","     190220","    3468915","         77.55"
"HDFC","EQ","03-May-2017","       1584.75","       1588.00","       1591.85","       1563.00","       1564.30","       1571.30","       1575.99","    4028393","          6348715654.20","     117911","    3240990","         80.45"
"HDFC","EQ","04-May-2017","       1571.30","       1573.00","       1587.40","       1556.00","       1558.10","       1564.35","       1574.65","    5810079","          9148842352.80","     129219","    4408453","         75.88"
"HDFC","EQ","05-May-2017","       1564.35","       1570.10","       1570.20","       1540.95","       1543.00","       1546.85","       1548.07","    2299986","          3560540227.45","      99366","    1790557","         77.85"
"HDFC","EQ","08-May-2017","       1546.85","       1542.00","       1549.00","       1527.15","       1529.00","       1529.50","       1537.62","    1887869","          2902816398.90","      56878","    1579702","         83.68"
"HDFC","EQ","09-May-2017","       1529.50","       1537.90","       1542.80","       1517.85","       1523.40","       1523.50","       1530.21","    2041977","          3124648180.55","      96568","    1517623","         74.32"
"HDFC","EQ","10-May-2017","       1523.50","       1532.00","       1575.25","       1527.20","       1570.70","       1572.00","       1562.57","    2965910","          4634452090.00","     123196","    2264217","         76.34"
"HDFC","EQ","11-May-2017","       1572.00","       1581.00","       1581.00","       1557.00","       1558.25","       1565.30","       1571.69","    2648011","          4161863415.20","      76511","    2134050","         80.59"
"HDFC","EQ","12-May-2017","       1565.30","       1565.00","       1566.20","       1539.35","       1549.00","       1549.80","       1549.18","    1294006","          2004644428.60","      72628","     920599","         71.14"
"HDFC","EQ","15-May-2017","       1549.80","       1554.50","       1572.60","       1554.10","       1561.00","       1559.50","       1562.62","    1270297","          1984989921.95","      59917","     955875","         75.25"
"HDFC","EQ","16-May-2017","       1559.50","       1558.00","       1569.00","       1554.00","       1568.00","       1566.55","       1564.05","    2114918","          3307844027.00","      79354","    1652379","         78.13"
"HDFC","EQ","17-May-2017","       1566.55","       1565.50","       1570.95","       1549.75","       1550.10","       1552.50","       1557.08","    2161434","          3365526233.20","      80317","    1794472","         83.02"
"HDFC","EQ","18-May-2017","       1552.50","       1547.00","       1558.60","       1526.50","       1545.00","       1537.05","       1539.03","    2404372","          3700407244.80","      85842","    1837821","         76.44"
"HDFC","EQ","19-May-2017","       1537.05","       1545.00","       1548.00","       1515.35","       1526.50","       1520.60","       1526.14","    2142433","          3269651728.75","     113875","    1601236","         74.74"
"HDFC","EQ","22-May-2017","       1520.60","       1530.00","       1530.00","       1510.25","       1519.95","       1519.85","       1518.84","    1920867","          2917481234.80","      70390","    1541085","         80.23"
"HDFC","EQ","23-May-2017","       1519.85","       1521.70","       1537.20","       1503.45","       1510.00","       1511.50","       1521.20","    1408855","          2143148588.05","      56848","     969791","         68.84"
"HDFC","EQ","24-May-2017","       1511.50","       1519.00","       1541.75","       1512.40","       1525.00","       1524.85","       1527.90","    2209471","          3375851161.20","      75808","    1361319","         61.61"
"HDFC","EQ","25-May-2017","       1524.85","       1533.90","       1546.00","       1530.50","       1539.00","       1539.75","       1539.88","    4099792","          6313183910.85","      91104","    3327557","         81.16"
"HDFC","EQ","26-May-2017","       1539.75","       1538.10","       1563.00","       1530.25","       1544.50","       1547.90","       1548.63","    1871008","          2897490679.90","      59347","    1270174","         67.89"
"HDFC","EQ","29-May-2017","       1547.90","       1546.00","       1601.25","       1546.00","       1596.75","       1598.85","       1586.02","    3464406","          5494626677.80","      75137","    1961992","         56.63"
"HDFC","EQ","30-May-2017","       1598.85","       1595.70","       1604.00","       1575.05","       1582.60","       1579.50","       1588.05","    1605211","          2549149347.80","      77293","    1019565","         63.52"
"HDFC","EQ","31-May-2017","       1579.50","       1581.00","       1596.15","       1565.40","       1576.80","       1569.85","       1571.89","    4907685","          7714319619.25","     160031","    3833239","         78.11"
"HDFC","EQ","01-Jun-2017","       1569.85","       1551.80","       1587.40","       1551.80","       1577.25","       1583.75","       1575.11","    2990228","          4709941589.05","     155736","    1983472","         66.33"
